 Hrb Slt Fries Lg,105,768.6396,17684002 ,9 - Strike CCW,FY23/24 , P10
 Chicken Bites,28,400.0012,1772002 ,9 - Strike CCW,FY23/24 , P10
 Margherita Pizza,24,399.9996,171652421 ,9 - Strike CCW,FY23/24 , P10
 Nachos,19,345.4542,17080 ,9 - Strike CCW,FY23/24 , P10
 Sides Combo,11,279.9995,52238000 ,9 - Strike CCW,FY23/24 , P10
 KidsPizzaToShare,28,229.0904,52160119 ,9 - Strike CCW,FY23/24 , P10
 Pepperoni Pizza,13,218.1816,17716 ,9 - Strike CCW,FY23/24 , P10
 PizzanFries,10,181.818,52160351 ,9 - Strike CCW,FY23/24 , P10
 Meatlovers Pizza,9,174.5456,1778501 ,9 - Strike CCW,FY23/24 , P10
 BonelesChickWing,11,160.0005,52160055 ,9 - Strike CCW,FY23/24 , P10
 Hawaiian Pizza,10,154.5453,17227001 ,9 - Strike CCW,FY23/24 , P10
 KidsFriesToShare,28,152.726,52160113 ,9 - Strike CCW,FY23/24 , P10
 Onion Rings,11,124.0911,171581 ,9 - Strike CCW,FY23/24 , P10
 Trio Of Sliders,8,124.091,17781 ,9 - Strike CCW,FY23/24 , P10
 Potato Gems,22,120.9096,1779001 ,9 - Strike CCW,FY23/24 , P10
 BowlOfFries,13,117.2727,52160057 ,9 - Strike CCW,FY23/24 , P10
 ChefSeleMixPizza,10,90.909,52160063 ,9 - Strike CCW,FY23/24 , P10
 FriesToShare,10,90.909,52160094 ,9 - Strike CCW,FY23/24 , P10
 Cauliflower Bite,12,81.8182,1779201 ,9 - Strike CCW,FY23/24 , P10
 Pizza Combo,2,70.909,52298 ,9 - Strike CCW,FY23/24 , P10
 Kids ChickenMeal,5,68.182,52243001 ,9 - Strike CCW,FY23/24 , P10
 Kids Burger Meal,4,54.5456,1778801 ,9 - Strike CCW,FY23/24 , P10
 Trio Chick Slide,6,53.1819,17723 ,9 - Strike CCW,FY23/24 , P10
 Sweet Pot Fries,8,51.8184,17302 ,9 - Strike CCW,FY23/24 , P10
 Fries Reg,10,51.818,13063484 ,9 - Strike CCW,FY23/24 , P10
 Duo of Tacos,4,50.9092,17793 ,9 - Strike CCW,FY23/24 , P10
 Kids Chick Meal,4,43.6364,17683005 ,9 - Strike CCW,FY23/24 , P10
 Chickn Rnch Piza,2,43.6364,1778401 ,9 - Strike CCW,FY23/24 , P10
 Duo Chicken Taco,8,38.1819,177931 ,9 - Strike CCW,FY23/24 , P10
 SeasonFruitPlat,1,36.3636,52160149 ,9 - Strike CCW,FY23/24 , P10
 Onion Rings,8,35.4546,171582 ,9 - Strike CCW,FY23/24 , P10
 Trio Beef Slider,7,35.4546,17724 ,9 - Strike CCW,FY23/24 , P10
 Hrb Slt Fries Rg,6,31.8182,17684001 ,9 - Strike CCW,FY23/24 , P10
 Corn Ribs,2,27.2728,17717 ,9 - Strike CCW,FY23/24 , P10
 Tacos Combo,1,25.4545,52299 ,9 - Strike CCW,FY23/24 , P10
 Hot Honey Pizza,1,21.8182,1778301 ,9 - Strike CCW,FY23/24 , P10
 P/B BBQ Chicken,1,21.8182,1778601 ,9 - Strike CCW,FY23/24 , P10
 Kids ChesBurger,2,21.8182,1778802 ,9 - Strike CCW,FY23/24 , P10
 OL Pizza,1,18.1818,5214036 ,9 - Strike CCW,FY23/24 , P10
 MargPizzaShare,1,18.1818,52160125 ,9 - Strike CCW,FY23/24 , P10
 OL Share Tacos,1,12.7273,5214038 ,9 - Strike CCW,FY23/24 , P10
 Vanilla Choc Top,3,9.0909,177941 ,9 - Strike CCW,FY23/24 , P10
 Jalapenos Add on,3,5.4546,52120 ,9 - Strike CCW,FY23/24 , P10
 Kids Mini Pizza,4,5.4544,1778901 ,9 - Strike CCW,FY23/24 , P10
 Ranch Sauce,5,4.5455,17488111 ,9 - Strike CCW,FY23/24 , P10
 Buffalo Sauce,3,2.7273,17293 ,9 - Strike CCW,FY23/24 , P10
 Sour Cream,3,2.7273,17295112 ,9 - Strike CCW,FY23/24 , P10
 Pepperoni,1,2.7273,17499112 ,9 - Strike CCW,FY23/24 , P10
 Add Shredded Ham,1,2.7273,50015002 ,9 - Strike CCW,FY23/24 , P10
