 Hrb Slt Fries Lg,112,911.0035,17684002 ,9 - Strike CCW,FY23/24 , P12
 Chicken Bites,40,567.2744,1772002 ,9 - Strike CCW,FY23/24 , P12
 PizzanFries,21,381.8178,52160351 ,9 - Strike CCW,FY23/24 , P12
 Margherita Pizza,24,357.6618,171652421 ,9 - Strike CCW,FY23/24 , P12
 KidsFriesToShare,56,305.452,52160113 ,9 - Strike CCW,FY23/24 , P12
 KidsPizzaToShare,36,294.5448,52160119 ,9 - Strike CCW,FY23/24 , P12
 Nachos,16,290.9088,17080 ,9 - Strike CCW,FY23/24 , P12
 Meatlovers Pizza,12,261.8184,1778501 ,9 - Strike CCW,FY23/24 , P12
 Pepperoni Pizza,11,195.5452,17716 ,9 - Strike CCW,FY23/24 , P12
 Sides Combo,7,178.1815,52238000 ,9 - Strike CCW,FY23/24 , P12
 Sweet Pot Fries,22,164.0916,17302 ,9 - Strike CCW,FY23/24 , P12
 KidsTender2Share,20,163.636,52160123 ,9 - Strike CCW,FY23/24 , P12
 Trio Beef Slider,9,159.5457,17724 ,9 - Strike CCW,FY23/24 , P12
 Potato Gems,23,125.2278,1779001 ,9 - Strike CCW,FY23/24 , P12
 Cauliflower Bite,11,109.091,1779201 ,9 - Strike CCW,FY23/24 , P12
 Hrb Slt Fries Rg,17,93.8637,17684001 ,9 - Strike CCW,FY23/24 , P12
 Kids ChickenMeal,6,81.8184,52243001 ,9 - Strike CCW,FY23/24 , P12
 Hawaiian Pizza,4,72.7272,17227001 ,9 - Strike CCW,FY23/24 , P12
 Kids Pizza Meal,4,54.5456,17789002 ,9 - Strike CCW,FY23/24 , P12
 Onion Rings,4,47.2728,171581 ,9 - Strike CCW,FY23/24 , P12
 Duo Cauli Tacos,4,44.5455,177932 ,9 - Strike CCW,FY23/24 , P12
 Kids Chick Meal,4,43.6364,17683005 ,9 - Strike CCW,FY23/24 , P12
 Chickn Rnch Piza,2,43.6364,1778401 ,9 - Strike CCW,FY23/24 , P12
 Corn Ribs,3,40.9092,17717 ,9 - Strike CCW,FY23/24 , P12
 Duo of Tacos,3,38.1819,17793 ,9 - Strike CCW,FY23/24 , P12
 Duo Chicken Taco,6,38.1819,177931 ,9 - Strike CCW,FY23/24 , P12
 Fries Reg,9,37.2725,13063484 ,9 - Strike CCW,FY23/24 , P12
 OL Pizza,2,36.3636,5214036 ,9 - Strike CCW,FY23/24 , P12
 Trio Of Sliders,2,35.4546,17781 ,9 - Strike CCW,FY23/24 , P12
 Hot Honey Pizza,2,32.7273,1778301 ,9 - Strike CCW,FY23/24 , P12
 OL Share Tacos,2,25.4546,5214038 ,9 - Strike CCW,FY23/24 , P12
 P/B BBQ Chicken,1,21.8182,1778601 ,9 - Strike CCW,FY23/24 , P12
 Kids ChesBurger,2,21.8182,1778802 ,9 - Strike CCW,FY23/24 , P12
 Warm Olives,3,21.8182,1779101 ,9 - Strike CCW,FY23/24 , P12
 OL Premium Pizza,1,20.0,5214037 ,9 - Strike CCW,FY23/24 , P12
 Trio Vegan Slide,2,17.7273,52237000 ,9 - Strike CCW,FY23/24 , P12
 Kids Burger Meal,1,13.6364,1778801 ,9 - Strike CCW,FY23/24 , P12
 Onion Rings,5,11.8182,171582 ,9 - Strike CCW,FY23/24 , P12
 Mint Choc Top,2,9.091,177942 ,9 - Strike CCW,FY23/24 , P12
 Jalapenos Add on,4,7.2728,52120 ,9 - Strike CCW,FY23/24 , P12
 Vanilla Choc Top,1,4.5455,177941 ,9 - Strike CCW,FY23/24 , P12
 Kids Mini Pizza,3,3.6363,1778901 ,9 - Strike CCW,FY23/24 , P12
 Buffalo Sauce,3,2.7273,17293002 ,9 - Strike CCW,FY23/24 , P12
 Sour Cream,2,1.8182,17295112 ,9 - Strike CCW,FY23/24 , P12
 BBQ Sauce,2,1.8182,17297001 ,9 - Strike CCW,FY23/24 , P12
 Liquid Cheese,2,1.8182,17487111 ,9 - Strike CCW,FY23/24 , P12
 Ranch Sauce,2,1.8182,17488111 ,9 - Strike CCW,FY23/24 , P12
 Pineapple Chunks,1,1.8182,17495112 ,9 - Strike CCW,FY23/24 , P12
 No GluFree Piz B,1,1.8182,17505002 ,9 - Strike CCW,FY23/24 , P12
