 Hrb Slt Fries Lg,119,874.2762,17684002 ,9 - Strike CCW,FY23/24 , P09
 Margherita Pizza,32,534.5451,171652421 ,9 - Strike CCW,FY23/24 , P09
 PizzanFries,26,472.7268,52160351 ,9 - Strike CCW,FY23/24 , P09
 KidsPizzaToShare,56,458.1808,52160119 ,9 - Strike CCW,FY23/24 , P09
 Sides Combo,16,407.272,52238000 ,9 - Strike CCW,FY23/24 , P09
 Nachos,22,399.9996,17080 ,9 - Strike CCW,FY23/24 , P09
 Chicken Bites,27,392.7285,1772002 ,9 - Strike CCW,FY23/24 , P09
 OL Pizza,21,381.8178,5214036 ,9 - Strike CCW,FY23/24 , P09
 Pepperoni Pizza,21,372.7269,17716 ,9 - Strike CCW,FY23/24 , P09
 KidsFriesToShare,68,370.906,52160113 ,9 - Strike CCW,FY23/24 , P09
 OL Premium Pizza,16,349.0912,5214037 ,9 - Strike CCW,FY23/24 , P09
 Chickn Rnch Piza,13,283.6366,1778401 ,9 - Strike CCW,FY23/24 , P09
 Meatlovers Pizza,14,283.6366,1778501 ,9 - Strike CCW,FY23/24 , P09
 FriesToShare,29,263.6361,52160094 ,9 - Strike CCW,FY23/24 , P09
 Trio Of Sliders,13,230.4549,17781 ,9 - Strike CCW,FY23/24 , P09
 Hawaiian Pizza,9,163.6362,17227001 ,9 - Strike CCW,FY23/24 , P09
 Onion Rings,13,147.7275,171581 ,9 - Strike CCW,FY23/24 , P09
 ChefSeleMixPizza,14,127.2726,52160063 ,9 - Strike CCW,FY23/24 , P09
 Hrb Slt Fries Rg,23,125.2274,17684001 ,9 - Strike CCW,FY23/24 , P09
 P/B BBQ Chicken,5,109.091,1778601 ,9 - Strike CCW,FY23/24 , P09
 10xChicken Tacos,2,100.0,52160382 ,9 - Strike CCW,FY23/24 , P09
 Potato Gems,24,99.3186,1779001 ,9 - Strike CCW,FY23/24 , P09
 KidsTender2Share,12,98.1816,52160123 ,9 - Strike CCW,FY23/24 , P09
 Duo of Tacos,7,89.0911,17793 ,9 - Strike CCW,FY23/24 , P09
 OliveFlatbr&Humm,3,81.8181,52160375 ,9 - Strike CCW,FY23/24 , P09
 Cauliflower Bite,13,76.3637,1779201 ,9 - Strike CCW,FY23/24 , P09
 SeasonFruitPlat,2,72.7272,52160149 ,9 - Strike CCW,FY23/24 , P09
 SweetPotatoFries,7,60.4548,52160365 ,9 - Strike CCW,FY23/24 , P09
 MargPizzaShare,3,54.5454,52160125 ,9 - Strike CCW,FY23/24 , P09
 Trio Chick Slide,7,53.1819,17723 ,9 - Strike CCW,FY23/24 , P09
 Trio Beef Slider,11,53.1819,17724 ,9 - Strike CCW,FY23/24 , P09
 10xCauli Tacos,1,50.0,52160383 ,9 - Strike CCW,FY23/24 , P09
 Sweet Pot Fries,13,49.0911,17302 ,9 - Strike CCW,FY23/24 , P09
 Onion Rings,11,47.2728,171582 ,9 - Strike CCW,FY23/24 , P09
 Kids ChickenMeal,3,40.9092,52243001 ,9 - Strike CCW,FY23/24 , P09
 Kids Chick Meal,-11,32.7273,17683005 ,9 - Strike CCW,FY23/24 , P09
 CauliflowerBites,3,32.7273,52160368 ,9 - Strike CCW,FY23/24 , P09
 Vanilla Choc Top,7,31.8185,177941 ,9 - Strike CCW,FY23/24 , P09
 Corn Ribs,2,27.2728,17717 ,9 - Strike CCW,FY23/24 , P09
 Kids Burger Meal,2,27.2728,1778801 ,9 - Strike CCW,FY23/24 , P09
 Hot Honey Pizza,1,21.8182,1778301 ,9 - Strike CCW,FY23/24 , P09
 Kids ChesBurger,2,21.8182,1778802 ,9 - Strike CCW,FY23/24 , P09
 Nachos,1,18.1818,52160367 ,9 - Strike CCW,FY23/24 , P09
 Fries Reg,-8,17.7271,13063484 ,9 - Strike CCW,FY23/24 , P09
 Duo Chicken Taco,8,12.7273,177931 ,9 - Strike CCW,FY23/24 , P09
 OL Share Tacos,1,12.7273,5214038 ,9 - Strike CCW,FY23/24 , P09
 Mint Choc Top,2,9.091,177942 ,9 - Strike CCW,FY23/24 , P09
 PartyLollieTable,1,9.0909,52160140 ,9 - Strike CCW,FY23/24 , P09
 Potato Gems,1,8.6364,52160364 ,9 - Strike CCW,FY23/24 , P09
